AccX,AccY,AccZ,Dist
0.0,0.02,1.06,308.0
0.01,0.02,1.07,311.0
0.0,0.02,1.07,310.0
0.01,0.02,1.07,308.0
0.01,0.01,1.07,307.0
0.01,0.02,1.06,306.0
0.01,0.01,1.07,306.0
0.0,0.02,1.07,310.0
0.0,0.01,1.07,311.0
0.01,0.02,1.12,307.0
0.0,0.01,1.06,308.0
0.01,0.02,1.06,307.0
-0.0,0.02,1.07,304.0
-0.0,0.02,1.06,305.0
0.0,0.01,1.07,306.0
-0.0,0.03,1.06,305.0
-0.0,0.01,1.0,309.0
0.01,0.02,1.07,306.0
-0.0,0.02,1.07,309.0
0.0,0.02,1.07,305.0
0.0,0.02,1.07,308.0
0.0,0.02,1.07,308.0
0.0,0.02,1.07,305.0
0.0,0.02,1.07,307.0
0.06,0.02,1.07,313.0
-0.0,0.01,1.06,306.0
0.01,0.02,1.07,305.0
0.0,0.03,1.07,310.0
0.0,0.01,1.07,308.0
-0.0,0.02,1.07,307.0
0.0,0.01,1.07,307.0
0.0,0.02,1.06,309.0
-0.01,0.02,1.07,305.0
0.01,0.01,1.06,307.0
-0.06,0.01,1.06,312.0
-0.0,0.02,1.07,309.0
0.0,0.02,1.07,307.0
0.0,0.02,1.06,305.0
0.0,0.02,1.07,309.0
0.01,0.02,1.07,310.0
0.0,0.01,1.06,304.0
-0.06,0.01,1.07,309.0
0.01,0.02,1.06,308.0
-0.0,0.01,1.07,307.0
0.0,0.02,1.06,307.0
-0.0,0.02,1.07,308.0
0.01,0.02,1.06,304.0
0.01,0.01,1.06,307.0
-0.06,0.01,1.07,306.0
0.0,0.02,1.07,304.0
0.0,0.02,1.07,306.0
0.0,0.02,1.07,305.0
0.0,0.02,1.06,308.0
0.0,0.02,1.07,307.0
-0.0,0.01,1.07,306.0
0.0,0.02,1.07,307.0
0.0,0.02,1.07,309.0
-0.0,0.02,1.06,307.0
0.01,0.02,1.07,309.0
-0.0,0.02,1.06,310.0
0.0,0.02,1.07,301.0
0.0,0.02,1.07,306.0
-0.0,0.02,1.07,307.0
0.0,0.01,1.06,308.0
0.0,0.02,1.07,305.0
0.0,0.02,1.06,305.0
0.01,0.02,1.07,305.0
0.0,0.02,1.07,309.0
0.0,0.01,1.07,308.0
0.0,0.02,1.07,313.0
0.0,0.03,1.07,306.0
0.0,0.01,1.07,309.0
-0.0,0.01,1.07,310.0
0.0,0.02,1.07,310.0
-0.0,0.02,1.06,309.0
0.0,0.01,1.07,305.0
0.01,0.02,1.06,306.0
-0.01,0.01,1.07,306.0
-0.0,0.02,1.0,308.0
0.01,0.02,1.07,302.0
0.0,0.01,1.07,307.0
-0.0,0.02,1.06,304.0
0.0,0.02,1.07,308.0
-0.0,0.01,1.07,311.0
0.0,0.02,1.06,308.0
0.01,0.02,1.07,305.0
-0.0,0.02,1.06,309.0
0.0,0.01,1.07,304.0
-0.0,0.02,1.07,308.0
0.0,0.03,1.06,309.0
0.0,0.01,1.07,310.0
-0.01,0.02,1.07,307.0
0.0,0.02,1.06,308.0
0.0,0.02,1.07,308.0
0.01,0.02,1.07,305.0
0.01,0.02,1.07,306.0
0.01,0.02,1.07,307.0
0.0,0.02,1.06,301.0
0.0,0.02,1.06,310.0
0.01,0.02,1.07,306.0
-0.06,0.02,1.07,308.0
-0.0,0.01,1.06,308.0
0.01,0.02,1.07,306.0
0.06,0.02,1.07,307.0
0.0,0.02,1.07,304.0
0.01,0.02,1.06,310.0
0.0,0.02,1.06,309.0
0.0,0.02,1.07,312.0
-0.0,0.02,1.07,308.0
-0.0,0.02,1.07,310.0
0.0,0.01,1.07,310.0
-0.0,0.01,1.07,306.0
0.0,0.01,1.07,307.0
-0.0,0.02,1.06,306.0
0.0,0.03,1.06,306.0
0.01,0.02,1.06,308.0
-0.0,0.02,1.06,306.0
-0.06,0.02,1.06,311.0
0.0,0.03,1.07,307.0
-0.0,0.01,1.06,309.0
0.01,0.01,1.07,311.0
-0.0,0.02,1.06,309.0
0.0,0.02,1.07,308.0
0.0,0.02,1.07,308.0
0.0,0.02,1.07,305.0
0.0,0.02,1.07,310.0
0.0,0.02,1.07,310.0
0.0,0.03,1.06,305.0
-0.0,0.01,1.07,307.0
-0.0,0.02,1.07,312.0
0.01,0.02,1.07,306.0
-0.0,0.02,1.07,307.0
-0.0,0.02,1.07,308.0
0.0,0.02,1.07,306.0
0.0,0.02,1.07,302.0
0.0,0.02,1.07,305.0
-0.0,0.02,1.07,306.0
-0.01,0.02,1.06,311.0
0.01,0.02,1.07,303.0
-0.0,0.02,1.07,307.0
-0.0,0.01,1.07,305.0
-0.06,0.01,1.07,308.0
-0.0,0.02,1.06,309.0
-0.0,0.02,1.07,308.0
-0.0,0.02,1.07,307.0
0.0,0.02,1.07,308.0
0.0,0.02,1.06,308.0
0.0,0.02,1.07,307.0
-0.0,0.02,1.06,306.0
0.01,0.02,1.07,306.0
0.01,0.02,1.07,306.0
0.0,0.02,1.07,304.0
0.0,0.02,1.06,309.0
-0.0,0.02,1.07,305.0
-0.0,0.02,1.07,307.0
0.0,0.02,1.07,309.0
-0.01,0.01,1.07,309.0
0.01,0.02,1.07,307.0
0.01,0.03,1.07,309.0
-0.0,0.02,1.07,310.0
0.01,0.02,1.06,307.0
-0.0,0.02,1.07,309.0
-0.06,0.02,1.06,310.0
-0.0,0.02,1.06,309.0
-0.0,0.02,1.07,305.0
0.0,0.03,1.07,302.0
-0.0,0.02,1.07,307.0
0.0,0.03,1.07,308.0
0.0,0.03,1.07,307.0
0.0,0.02,1.06,305.0
-0.0,0.01,1.07,307.0
0.0,0.02,1.07,306.0
0.0,0.02,1.07,304.0
0.0,0.01,1.07,309.0
0.0,0.02,1.06,306.0
-0.0,0.03,1.06,306.0
0.0,0.02,1.06,305.0
0.0,0.02,1.07,308.0
0.0,0.02,1.07,309.0
-0.0,0.02,1.06,306.0
-0.0,0.01,1.07,305.0
0.01,0.02,1.06,307.0
-0.0,0.02,1.07,307.0
0.01,0.02,1.07,304.0
0.0,0.02,1.07,305.0
0.0,0.02,1.07,306.0
0.01,0.02,1.07,306.0
0.0,0.02,1.07,310.0
-0.0,0.02,1.06,308.0
0.0,0.02,1.06,306.0
-0.0,0.02,1.07,307.0
0.0,0.03,1.06,304.0
0.01,0.02,1.01,306.0
-0.0,0.02,1.07,306.0
-0.0,0.02,1.06,310.0
0.0,0.02,1.07,306.0
0.0,0.02,1.07,307.0
0.0,0.02,1.07,308.0
-0.0,0.03,1.07,309.0
0.01,0.01,1.07,307.0
-0.0,0.02,1.06,308.0
0.0,0.03,1.07,306.0
0.0,0.02,1.12,309.0
0.01,0.02,1.07,305.0
0.01,0.03,1.06,306.0
0.0,0.02,1.07,309.0
0.0,0.02,1.07,306.0
0.0,0.01,1.07,309.0
0.0,0.02,1.07,305.0
0.01,0.02,1.07,311.0
-0.0,0.02,1.06,303.0
0.0,0.02,1.07,304.0
0.0,0.03,1.07,308.0
0.0,0.02,1.07,307.0
0.01,0.02,1.06,309.0
-0.01,0.02,1.04,310.0
-0.0,0.02,1.06,306.0
-0.01,0.03,1.06,306.0
0.01,0.03,1.06,309.0
0.01,0.02,1.06,306.0
0.01,0.02,1.07,307.0
-0.01,0.02,1.06,304.0
0.0,0.03,1.07,309.0
0.01,0.02,1.07,306.0
-0.0,0.02,1.06,310.0
-0.0,0.02,1.07,306.0
0.0,0.02,1.0,305.0
0.01,0.01,1.07,305.0
0.0,0.02,1.07,309.0
-0.01,0.02,1.07,305.0
-0.01,0.02,1.06,306.0
0.01,0.02,1.06,307.0
-0.0,0.02,1.06,307.0
0.01,0.02,1.07,307.0
-0.01,0.02,1.07,306.0
0.01,0.02,1.06,308.0
-0.0,0.03,1.07,307.0
0.01,0.01,1.07,307.0
-0.01,0.02,1.07,303.0
-0.0,0.02,1.07,307.0
0.01,0.03,1.07,308.0
0.01,0.02,1.07,308.0
-0.0,0.01,1.07,309.0
0.01,0.02,1.06,309.0
0.0,0.02,1.07,310.0
0.01,0.03,1.07,307.0
0.01,0.02,1.07,305.0
-0.01,0.01,1.07,306.0
0.01,0.03,1.06,307.0
-0.0,0.02,1.07,307.0
-0.0,0.01,1.07,304.0
0.0,0.02,1.07,306.0
-0.0,0.02,1.06,304.0
0.01,0.02,1.07,307.0
0.0,0.03,1.07,306.0
0.0,0.02,1.06,305.0
0.01,0.02,1.06,308.0
0.0,0.01,1.07,306.0
0.0,0.02,1.08,304.0
-0.01,0.01,1.07,308.0
0.01,0.03,1.07,306.0
0.01,0.02,1.07,309.0
-0.0,0.02,1.06,309.0
-0.0,0.01,1.07,310.0
0.01,0.02,1.07,307.0
-0.01,0.02,1.07,309.0
0.01,0.02,1.06,309.0
0.0,0.02,1.07,307.0
-0.0,0.02,1.07,306.0
0.0,0.02,1.07,308.0
0.01,0.01,1.07,309.0
0.0,0.02,1.0,306.0
-0.06,0.02,1.07,308.0
0.0,0.02,1.07,306.0
0.0,0.02,1.07,307.0
-0.0,0.02,1.07,310.0
0.0,0.02,1.06,307.0
0.01,0.02,1.07,305.0
-0.01,0.02,1.06,308.0
0.0,0.02,1.06,307.0
0.01,0.02,1.07,305.0
0.01,0.02,1.07,309.0
-0.0,0.02,1.07,306.0
0.0,0.02,1.06,309.0
0.01,0.02,1.07,307.0
0.01,0.02,1.07,305.0
-0.01,0.02,1.06,304.0
0.0,0.02,1.07,308.0
0.0,0.02,1.07,307.0
0.0,0.02,1.07,307.0
0.0,0.02,1.07,311.0
0.0,0.01,1.06,307.0
0.0,0.02,1.06,307.0
0.0,0.02,1.06,308.0
-0.0,0.02,1.07,306.0
-0.0,0.02,1.12,309.0
0.01,0.02,1.07,306.0
0.0,0.02,1.06,307.0
-0.0,0.02,1.07,304.0
0.01,0.02,1.06,311.0
0.0,0.02,1.07,311.0
-0.01,0.02,1.07,310.0
0.01,0.03,1.06,307.0
0.06,0.02,1.07,309.0
-0.01,0.02,1.07,303.0
0.01,0.02,1.07,308.0
0.0,0.02,1.06,306.0
0.01,0.02,1.07,312.0
0.0,0.02,1.07,309.0
-0.0,0.02,1.06,309.0
0.01,0.03,1.06,307.0
0.0,0.03,1.07,307.0
0.0,0.02,1.06,308.0
0.0,0.02,1.07,303.0
0.0,0.02,1.06,309.0
-0.0,0.03,1.06,305.0
0.0,0.01,1.06,310.0
-0.01,0.02,1.07,310.0
-0.01,0.02,1.07,309.0
0.01,0.02,1.07,308.0
0.06,0.02,1.06,310.0
-0.0,0.02,1.07,311.0
0.01,0.02,1.06,307.0
-0.01,0.03,1.06,305.0
0.01,0.02,1.07,307.0
0.01,0.01,1.07,306.0
-0.01,0.02,1.07,307.0
0.01,0.02,1.06,312.0
0.01,0.02,1.07,306.0
-0.0,0.02,1.06,304.0
0.0,0.02,1.06,308.0
0.0,0.02,1.07,309.0
0.0,0.02,1.06,310.0
0.0,0.02,1.07,311.0
-0.0,0.02,1.06,305.0
0.01,0.01,1.07,306.0
