AccX,AccY,AccZ,Dist
0.0,-0.01,1.07,101.0
0.0,-0.01,1.07,100.0
-0.0,-0.02,1.06,100.0
0.01,-0.01,1.07,104.0
-0.0,-0.01,1.07,104.0
-0.0,-0.02,1.07,102.0
0.01,-0.01,1.07,102.0
-0.0,-0.01,1.07,100.0
0.0,-0.01,1.07,99.0
0.0,-0.01,1.06,102.0
-0.05,-0.01,1.06,101.0
-0.0,-0.01,1.07,99.0
0.0,-0.01,1.07,101.0
-0.0,-0.01,1.07,102.0
0.0,-0.01,1.07,100.0
0.0,-0.01,1.07,100.0
0.0,-0.01,1.07,99.0
0.0,-0.02,1.06,103.0
0.01,-0.01,1.06,99.0
0.0,-0.0,1.07,101.0
0.0,-0.01,1.07,101.0
0.0,-0.01,1.06,102.0
0.01,-0.01,1.06,100.0
0.0,-0.01,1.06,99.0
-0.0,-0.02,1.06,102.0
0.0,-0.01,1.07,101.0
0.0,-0.0,1.06,102.0
-0.0,-0.01,1.06,100.0
0.0,-0.0,1.07,103.0
-0.0,-0.01,1.07,103.0
0.0,-0.01,1.07,100.0
-0.0,-0.01,1.07,100.0
0.01,-0.01,1.07,101.0
0.0,-0.01,1.07,102.0
0.0,-0.01,1.07,102.0
0.0,-0.01,1.07,99.0
0.0,-0.01,1.06,101.0
0.0,-0.01,1.06,102.0
0.0,-0.01,1.07,99.0
-0.0,-0.01,1.07,98.0
0.0,-0.01,1.07,103.0
0.0,-0.01,1.06,100.0
0.0,-0.01,1.07,101.0
0.01,-0.01,1.06,103.0
-0.0,-0.01,1.06,101.0
-0.0,-0.01,1.07,98.0
-0.0,-0.01,1.07,100.0
-0.0,-0.01,1.07,101.0
-0.01,-0.02,1.07,102.0
0.0,-0.01,1.06,101.0
-0.01,-0.01,1.06,102.0
0.0,-0.01,1.06,98.0
-0.0,-0.01,1.07,99.0
0.0,-0.01,1.06,104.0
-0.0,-0.01,1.07,101.0
0.0,-0.01,1.07,103.0
0.0,-0.01,1.06,102.0
0.0,-0.01,1.06,100.0
0.0,-0.01,1.07,99.0
0.0,-0.01,1.07,101.0
0.0,-0.01,1.06,101.0
0.0,-0.02,1.06,100.0
0.0,-0.01,1.07,101.0
0.0,-0.01,1.07,101.0
-0.0,-0.01,1.06,104.0
-0.0,-0.01,1.07,102.0
-0.0,-0.01,1.07,104.0
0.0,-0.01,1.06,102.0
0.0,-0.01,1.06,101.0
0.0,-0.01,1.06,100.0
-0.0,-0.01,1.07,101.0
-0.0,-0.0,1.07,102.0
-0.06,-0.01,1.07,102.0
0.0,-0.01,1.07,100.0
0.0,-0.01,1.07,101.0
-0.0,-0.01,1.06,103.0
0.0,-0.01,1.07,99.0
-0.01,-0.01,1.07,100.0
-0.0,-0.01,1.07,99.0
-0.0,-0.01,1.07,100.0
-0.0,-0.01,1.07,99.0
0.0,-0.01,1.07,97.0
0.0,-0.01,1.01,104.0
0.06,-0.01,1.06,103.0
0.0,-0.01,1.07,98.0
-0.0,-0.01,1.06,99.0
0.01,-0.02,1.06,101.0
0.0,-0.01,1.07,100.0
0.0,-0.01,1.06,101.0
0.01,-0.02,1.06,102.0
0.06,-0.01,1.07,98.0
-0.0,-0.01,1.06,102.0
-0.0,-0.01,1.07,103.0
0.01,-0.01,1.07,104.0
0.0,-0.01,1.07,102.0
-0.0,-0.01,1.07,102.0
-0.0,-0.01,1.06,100.0
-0.0,-0.01,1.07,102.0
0.0,-0.01,1.06,98.0
0.0,-0.01,1.07,99.0
0.0,-0.01,1.07,105.0
0.01,-0.01,1.06,102.0
0.01,-0.0,1.07,100.0
-0.0,-0.01,1.07,101.0
-0.0,-0.01,1.07,97.0
0.01,-0.01,1.06,99.0
0.0,-0.01,1.06,100.0
-0.0,-0.01,1.07,101.0
-0.01,-0.01,1.07,100.0
-0.01,-0.01,1.07,99.0
0.0,-0.01,1.06,103.0
0.0,-0.0,1.07,104.0
0.0,-0.0,1.07,103.0
-0.0,-0.01,1.07,100.0
-0.0,-0.01,1.06,104.0
0.0,-0.01,1.06,103.0
0.0,-0.02,1.06,103.0
0.0,-0.01,1.07,101.0
-0.0,-0.02,1.07,104.0
0.01,-0.0,1.07,102.0
-0.0,-0.01,1.07,101.0
-0.0,-0.02,1.07,102.0
-0.0,-0.01,1.07,97.0
0.0,-0.01,1.06,101.0
-0.0,-0.01,1.06,100.0
0.0,-0.01,1.07,100.0
0.01,-0.01,1.07,101.0
0.0,-0.01,1.07,104.0
0.0,-0.01,1.07,106.0
0.0,-0.01,1.07,103.0
0.01,-0.0,1.06,104.0
0.0,-0.02,1.07,102.0
-0.0,-0.0,1.06,101.0
-0.0,-0.01,1.07,100.0
-0.06,-0.01,1.07,100.0
-0.0,-0.01,1.07,98.0
0.0,-0.01,1.07,97.0
-0.0,-0.01,1.06,104.0
0.0,-0.01,1.07,103.0
0.0,-0.01,1.07,101.0
0.0,-0.01,1.07,98.0
